ID,Fecha,Latitud,Longitud,Temperatura,Rumbo,Velocidad,Metadatos
300234066899350,2020-07-01 08:00:00,43.5263,-4.32789,20.3,-,-,n/a
300234066899350,2020-07-01 07:30:00,43.5257,-4.32539,20.3,-,-,n/a
300234066899350,2020-07-01 07:00:00,43.5267,-4.32135,20.2,-,-,n/a
300234066899350,2020-07-01 06:30:00,43.5281,-4.31808,20.1,-,-,n/a
300234066899350,2020-07-01 06:00:00,43.5301,-4.31542,20.1,-,-,n/a
300234066899350,2020-07-01 05:30:00,43.5312,-4.31249,20.2,-,-,n/a
300234066899350,2020-07-01 05:00:00,43.532,-4.30897,20.2,-,-,n/a
300234066899350,2020-07-01 04:30:00,43.5342,-4.30587,20.3,-,-,n/a
300234066899350,2020-07-01 04:00:00,43.5358,-4.30389,20.3,-,-,n/a
300234066899350,2020-07-01 03:30:00,43.5375,-4.3026,20.3,-,-,n/a
300234066899350,2020-07-01 03:00:00,43.5385,-4.30114,20.3,-,-,n/a
300234066899350,2020-07-01 02:30:00,43.5403,-4.30105,20.2,-,-,n/a
300234066899350,2020-07-01 02:00:00,43.5416,-4.30252,20.2,-,-,n/a
300234066899350,2020-07-01 01:30:00,43.543,-4.30432,20.2,-,-,n/a
300234066899350,2020-07-01 01:00:00,43.545,-4.30578,20.3,-,-,n/a
300234066899350,2020-07-01 00:30:00,43.5471,-4.30871,20.3,-,-,n/a
300234066899350,2020-07-01 00:00:00,43.5474,-4.31137,20.3,-,-,n/a
300234066899350,2020-06-30 23:30:00,43.5479,-4.31438,20.3,-,-,n/a
300234066899350,2020-06-30 23:00:00,43.5473,-4.31688,20.4,-,-,n/a
300234066899350,2020-06-30 22:30:00,43.5472,-4.31877,20.4,-,-,n/a
300234066899350,2020-06-30 22:00:00,43.5471,-4.32118,20.4,-,-,n/a
300234066899350,2020-06-30 21:30:00,43.5463,-4.32367,20.4,-,-,n/a
300234066899350,2020-06-30 21:00:00,43.5457,-4.32591,20.4,-,-,n/a
300234066899350,2020-06-30 20:30:00,43.5448,-4.3272,20.3,-,-,n/a
300234066899350,2020-06-30 20:00:00,43.5436,-4.3284,20.3,-,-,n/a
300234066899350,2020-06-30 19:30:00,43.5425,-4.32866,20.4,-,-,n/a
300234066899350,2020-06-30 19:00:00,43.5408,-4.32857,20.4,-,-,n/a
300234066899350,2020-06-30 18:30:00,43.54,-4.32797,20.4,-,-,n/a
300234066899350,2020-06-30 18:00:00,43.5388,-4.32763,20.5,-,-,n/a
300234066899350,2020-06-30 17:30:00,43.5372,-4.32685,20.7,-,-,n/a
300234066899350,2020-06-30 17:00:00,43.5349,-4.32565,20.7,-,-,n/a
300234066899350,2020-06-30 16:30:00,43.5324,-4.32384,20.7,-,-,n/a
300234066899350,2020-06-30 16:00:00,43.5294,-4.3204,20.8,-,-,n/a
300234066899350,2020-06-30 15:30:00,43.5268,-4.31576,20.8,-,-,n/a
300234066899350,2020-06-30 15:00:00,43.5245,-4.31,20.8,-,-,n/a
300234066899350,2020-06-30 14:30:00,43.5224,-4.30355,21.0,-,-,n/a
300234066899350,2020-06-30 14:00:00,43.5213,-4.29624,20.9,-,-,n/a
300234066899350,2020-06-30 13:30:00,43.52,-4.28841,20.9,-,-,n/a
300234066899350,2020-06-30 13:00:00,43.5199,-4.28041,20.8,-,-,n/a
300234066899350,2020-06-30 12:30:00,43.5204,-4.2731,20.7,-,-,n/a
300234066899350,2020-06-30 12:00:00,43.522,-4.26614,20.8,-,-,n/a
300234066899350,2020-06-30 11:30:00,43.5242,-4.2602,21.0,-,-,n/a
300234066899350,2020-06-30 11:00:00,43.5259,-4.25479,20.8,-,-,n/a
300234066899350,2020-06-30 10:30:00,43.5277,-4.25014,20.9,-,-,n/a
300234066899350,2020-06-30 10:00:00,43.5297,-4.24576,20.7,-,-,n/a
300234066899350,2020-06-30 09:30:00,43.5318,-4.24197,20.6,-,-,n/a
300234066899350,2020-06-30 09:00:00,43.534,-4.23999,20.5,-,-,n/a
300234066899350,2020-06-30 08:30:00,43.5363,-4.2381,20.2,-,-,n/a
300234066899350,2020-06-30 08:00:00,43.5382,-4.23776,20.0,-,-,n/a
300234066899350,2020-06-30 07:30:00,43.5399,-4.23853,19.9,-,-,n/a
300234066899350,2020-06-30 07:00:00,43.5412,-4.24094,19.9,-,-,n/a
300234066899350,2020-06-30 06:30:00,43.5422,-4.24361,19.9,-,-,n/a
300234066899350,2020-06-30 06:00:00,43.5426,-4.24653,19.8,-,-,n/a
300234066899350,2020-06-30 05:30:00,43.5424,-4.24963,19.8,-,-,n/a
300234066899350,2020-06-30 05:00:00,43.5419,-4.25238,19.8,-,-,n/a
300234066899350,2020-06-30 04:30:00,43.5409,-4.25461,19.9,-,-,n/a
300234066899350,2020-06-30 04:00:00,43.539,-4.25651,19.9,-,-,n/a
300234066899350,2020-06-30 03:30:00,43.5368,-4.25797,19.9,-,-,n/a
300234066899350,2020-06-30 03:00:00,43.5348,-4.25874,19.9,-,-,n/a
300234066899350,2020-06-30 02:30:00,43.5322,-4.25926,20.0,-,-,n/a
300234066899350,2020-06-30 02:00:00,43.5294,-4.25926,20.0,-,-,n/a
300234066899350,2020-06-30 01:30:00,43.5261,-4.25848,20.0,-,-,n/a
300234066899350,2020-06-30 01:00:00,43.5231,-4.25711,20.0,-,-,n/a
300234066899350,2020-06-30 00:30:00,43.5209,-4.2553,20.0,-,-,n/a
300234066899350,2020-06-30 00:00:00,43.5196,-4.25341,20.0,-,-,n/a
300234066899350,2020-06-29 23:30:00,43.5177,-4.25178,20.0,-,-,n/a
300234066899350,2020-06-29 23:00:00,43.5158,-4.24954,20.1,-,-,n/a
300234066899350,2020-06-29 22:30:00,43.5135,-4.24748,20.1,-,-,n/a
300234066899350,2020-06-29 22:00:00,43.5113,-4.24593,20.1,-,-,n/a
300234066899350,2020-06-29 21:30:00,43.5092,-4.24309,20.1,-,-,n/a
300234066899350,2020-06-29 21:00:00,43.5079,-4.23965,20.2,-,-,n/a
300234066899350,2020-06-29 20:30:00,43.5067,-4.2363,20.2,-,-,n/a
300234066899350,2020-06-29 20:00:00,43.5064,-4.23148,20.2,-,-,n/a
300234066899350,2020-06-29 19:30:00,43.5069,-4.22795,20.3,-,-,n/a
300234066899350,2020-06-29 19:00:00,43.5079,-4.224,20.3,-,-,n/a
300234066899350,2020-06-29 18:30:00,43.5085,-4.22039,20.4,-,-,n/a
300234066899350,2020-06-29 18:00:00,43.5103,-4.21669,20.5,-,-,n/a
300234066899350,2020-06-29 17:30:00,43.512,-4.21368,20.5,-,-,n/a
300234066899350,2020-06-29 17:00:00,43.5147,-4.21067,20.6,-,-,n/a
300234066899350,2020-06-29 16:30:00,43.5172,-4.20766,21.1,-,-,n/a
300234066899350,2020-06-29 16:00:00,43.5183,-4.20585,20.6,-,-,n/a
300234066899350,2020-06-29 15:30:00,43.5188,-4.2043,20.6,-,-,n/a
300234066899350,2020-06-29 15:00:00,43.5194,-4.20276,20.6,-,-,n/a
300234066899350,2020-06-29 14:30:00,43.5207,-4.20112,20.6,-,-,n/a
