latitude,longitude
36.0,-3.0
36.0,-3.618033988749895
36.03333333333333,-3.618033988749895
36.03333333333333,-2.9997385509812786
35.96666666666666,-2.9997385509812786
35.96666666666666,-3.6175115207341935
36.06666666666666,-3.6175115207341935
36.06666666666666,-2.9989542032020484
35.93333333333333,-2.9989542032020484
35.93333333333333,-3.616466583258532
36.099999999999994,-3.616466583258532
36.099999999999994,-2.9976469544931046
35.89999999999999,-2.9976469544931046
35.89999999999999,-3.614899173434382
36.133333333333326,-3.614899173434382
36.133333333333326,-2.995816801239088
35.86666666666666,-2.995816801239088
35.86666666666666,-3.612809286928923
36.16666666666666,-3.612809286928923
36.16666666666666,-2.9934637383784555
35.83333333333332,-2.9934637383784555
35.83333333333332,-3.6101969179650064
36.19999999999999,-3.6101969179650064
36.19999999999999,-2.9905877594034402
