,latitude,longitude
0,36.0,-3.0
1,36.0,-3.618033988749895
2,35.95,-3.618033988749895
3,35.95,-3.000391367462763
4,35.900000000000006,-3.000391367462763
5,35.900000000000006,-3.61764358640404
6,35.85000000000001,-3.61764358640404
7,35.85000000000001,-3.0007808071147144
8,35.80000000000001,-3.0007808071147144
9,35.80000000000001,-3.6172551070323884
10,35.750000000000014,-3.6172551070323884
11,35.750000000000014,-3.0011683286103126
12,35.70000000000002,-3.0011683286103126
13,35.70000000000002,-3.616868541017915
